phylum;taxon_id_parent;n_hok_1980-1999;n_hok_2000-2019;n_hok_tot_1980-1999;n_hok_tot_2000-2019;prop_baseline;prop_2000_2019;ell_l;ell_n;ell_f;ell_r;ell_t;substrate;residuals_model_substrate;residuals_model_ellenberg
Bryophyta; 687;127; 95;227;227;0,56387665;0,422907489;3;5; 6;5;3;soil on rock; -5,914579323;-5,784194776
Bryophyta; 688; 40; 64;227;227;0,18061674;0,286343612;4;2; 6;2;3;decaying vegetation;  2,206962786; 1,242441276
Bryophyta; 688; 40; 64;227;227;0,18061674;0,286343612;4;2; 6;2;3;decorticated wood;  1,595706098; 1,242441276
Bryophyta; 688; 40; 64;227;227;0,18061674;0,286343612;4;2; 6;2;3;mineral soil;  2,669352524; 1,242441276
Bryophyta; 688; 40; 64;227;227;0,18061674;0,286343612;4;2; 6;2;3;soil on rock;  1,741883096; 1,242441276
Bryophyta; 692; 54; 82;227;227;0,24229075;0,365638767;4;4; 4;5;5;epiphytic on living wood; -0,227759523; 0,404166232
Bryophyta; 694; 37; 35;227;227;0,16740088;0,158590308;4;6;10;6;3;epiphytic on living wood; -4,058652357;-0,287122858
Bryophyta; 694; 37; 35;227;227;0,16740088;0,158590308;4;6;10;6;3;rock, hard; -2,713214043;-0,287122858
Bryophyta; 694; 37; 35;227;227;0,16740088;0,158590308;4;6;10;6;3;artificial stone; -2,068305499;-0,287122858
Bryophyta; 696; 39; 17;227;227;0,17621145;0,079295154;6;4; 5;5;5;mineral soil; -4,860529821;-5,834407605
Bryophyta; 698; 32; 27;227;227;0,14537445;0,123348018;7;4; 6;5;3;mineral soil; -2,126335672;-2,208757227
Bryophyta; 702; 87;101;227;227;0,38766520;0,449339207;6;2; 5;2;3;gravel or sand;  0,464123522;-0,521103550
Bryophyta; 702; 87;101;227;227;0,38766520;0,449339207;6;2; 5;2;3;peat;  0,043645957;-0,521103550
Bryophyta; 702; 87;101;227;227;0,38766520;0,449339207;6;2; 5;2;3;mineral soil;  0,929343002;-0,521103550
Bryophyta; 704; 33; 22;227;227;0,14977974;0,101321586;4;3; 6;3;3;gravel or sand; -3,456127343;-3,989305839
Bryophyta; 704; 33; 22;227;227;0,14977974;0,101321586;4;3; 6;3;3;mineral soil; -3,161042585;-3,989305839
Bryophyta; 705; 10;  8;227;227;0,04845815;0,039647577;5;2; 6;3;5;mineral soil; -1,609635034;-2,371981714
Bryophyta; 709; 72; 37;227;227;0,32158590;0,167400881;6;3; 6;4;3;gravel or sand; -6,340452745;-6,485703893
Bryophyta; 709; 72; 37;227;227;0,32158590;0,167400881;6;3; 6;4;3;mineral soil; -5,945945683;-6,485703893
