id	code	naam_nederlands	naam_wetenschappelijk	taxn_vrs_key	taxongroep	usageKey	scientificName	rank	order	matchType	phylum	kingdom	genus	class	confidence	synonym	status	family
8318	bryumimb	Ongewimperd knikmos	Bryum archangelicum Bruch & Schimp.	INBSYS0000000732	Mossen	2676689	Bryum archangelicum Bruch & W.P.Schimper, 1846	SPECIES	Bryales	EXACT	Bryophyta	Plantae	Bryum	Bryopsida	100	FALSE	ACCEPTED	Bryaceae
8319	chilopol	Beeklippenmos	Chiloscyphus polyanthos (L.) Corda s.s.	INBSYS0000011588	Mossen	2689491	Chiloscyphus polyanthos (L.) Corda	SPECIES	Jungermanniales	EXACT	Marchantiophyta	Plantae	Chiloscyphus	Jungermanniopsida	100	FALSE	ACCEPTED	Lophocoleaceae
8320	eurhycas	Bossig spitsmos	Cirriphyllum crassinervium (Taylor) Loeske & M.Fleisch.	INBSYS0000000715	Mossen	5837996	Cirriphyllum crassinervium (Taylor) Loeske & M.Fleisch.	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Cirriphyllum	Bryopsida	100	FALSE	ACCEPTED	Brachytheciaceae
8321	plridpal	Veenkortsteeltje	Cleistocarpidium palustre (Bruch & Schimp) Ochyra & Bednarek-Ochyra	INBSYS0000000561	Mossen	2675831	Cleistocarpidium palustre Ochyra & Bednarek-Ochyra, 1996	SPECIES	Dicranales	EXACT	Bryophyta	Plantae	Cleistocarpidium	Bryopsida	100	FALSE	ACCEPTED	Ditrichaceae
8322	dcllapal	Brongreppelmos	Dichodontium palustre (Dicks.) M.Stech	INBSYS0000000574	Mossen	8397404	Dichodontium palustre (Dicks.) M.Stech	SPECIES	Dicranales	EXACT	Bryophyta	Plantae	Dichodontium	Bryopsida	100	FALSE	ACCEPTED	Dicranaceae
8323	dcnumber	Veengaffeltandmos	Dicranum undulatum Schrad. ex Brid.	INBSYS0000000785	Mossen	2675437	Dicranum undulatum Schrader ex Bridel, 1801	SPECIES	Dicranales	EXACT	Bryophyta	Plantae	Dicranum	Bryopsida	100	FALSE	ACCEPTED	Dicranaceae
8324	tricsaus	Klein dubbeltandmos	Didymodon australasiae (Hook. & Grev.) R.H.Zander	INBSYS0000000641	Mossen	5280245	Didymodon australasiae Zander, 1978	SPECIES	Pottiales	EXACT	Bryophyta	Plantae	Didymodon	Bryopsida	100	FALSE	ACCEPTED	Pottiaceae
8325	funarmuh	Getand krulmos	Entosthodon muhlenbergii (Turner) Fife	INBSYS0000000717	Mossen	2674033	Entosthodon muhlenbergii Fife, 1985	SPECIES	Funariales	EXACT	Bryophyta	Plantae	Entosthodon	Bryopsida	100	FALSE	ACCEPTED	Funariaceae
8326	funarpul	Gaaf krulmos	Entosthodon pulchellus (H.Philib.) Brugués	INBSYS0000000583	Mossen	8081578	Entosthodon pulchellus (H.Philib.) Brugués	SPECIES	Funariales	EXACT	Bryophyta	Plantae	Funaria	Bryopsida	100	TRUE	SYNONYM	Funariaceae
8327	eurhypul	Fraai snavelmos	Eurhynchiastrum pulchellum (Hedw.) Ignatov & Huttunen	INBSYS0000000604	Mossen	7602383	Eurhynchiastrum pulchellum (Hedw.) Ignatov & Huttunen	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Eurhynchiastrum	Bryopsida	100	FALSE	ACCEPTED	Brachytheciaceae
