id,scientific_name,rank,order,phylum,kingdom,genus,class,family
474,Grimmia tergestina Tomm. ex Bruch & Schimp.,SPECIES,Grimmiales,Bryophyta,Plantae,Grimmia,Bryopsida,Grimmiaceae
476,"Grimmia trichophylla Greville, 1824",SPECIES,Grimmiales,Bryophyta,Plantae,Grimmia,Bryopsida,Grimmiaceae
478,Gymnocolea inflata (Huds.) Dumort.,SPECIES,Jungermanniales,Marchantiophyta,Plantae,Gymnocolea,Jungermanniopsida,Anastrophyllaceae
480,"Homalothecium lutescens H.Robinson, 1962",SPECIES,Hypnales,Bryophyta,Plantae,Homalothecium,Bryopsida,Brachytheciaceae
481,"Homalothecium sericeum W.P.Schimper, 1851",SPECIES,Hypnales,Bryophyta,Plantae,Homalothecium,Bryopsida,Brachytheciaceae
485,"Hookeria lucens Smith, 1808",SPECIES,Hookeriales,Bryophyta,Plantae,Hookeria,Bryopsida,Hookeriaceae
488,"Hygrohypnum luridum Jennings, 1913",SPECIES,Hypnales,Bryophyta,Plantae,Hygrohypnum,Bryopsida,Amblystegiaceae
493,"Hylocomium splendens W.P.Schimper, 1852",SPECIES,Hypnales,Bryophyta,Plantae,Hylocomium,Bryopsida,Hylocomiaceae
500,"Hypnum andoi A.J.E.Smith, 1981",SPECIES,Hypnales,Bryophyta,Plantae,Hypnum,Bryopsida,Hypnaceae
501,"Hypnum cupressiforme Hedwig, 1801",SPECIES,Hypnales,Bryophyta,Plantae,Hypnum,Bryopsida,Hypnaceae
502,"Hypnum imponens Hedwig, 1801",SPECIES,Hypnales,Bryophyta,Plantae,Hypnum,Bryopsida,Hypnaceae
503,"Hypnum jutlandicum Holmen & Warncke, 1969",SPECIES,Hypnales,Bryophyta,Plantae,Hypnum,Bryopsida,Hypnaceae
504,Hypnum lacunosum (Brid.) Hoffm. ex Brid.,SPECIES,Hypnales,Bryophyta,Plantae,Hypnum,Bryopsida,Hypnaceae
505,"Hypnum pallescens Palisot de Beauvois, 1805",SPECIES,Hypnales,Bryophyta,Plantae,Hypnum,Bryopsida,Hypnaceae
509,"Isothecium alopecuroides Isoviita, 1981",SPECIES,Hypnales,Bryophyta,Plantae,Isothecium,Bryopsida,Brachytheciaceae
511,"Isothecium myosuroides Bridel, 1827",SPECIES,Hypnales,Bryophyta,Plantae,Isothecium,Bryopsida,Brachytheciaceae
516,Jungermannia caespiticia Lindenb.,SPECIES,Jungermanniales,Marchantiophyta,Plantae,Jungermannia,Jungermanniopsida,Jungermanniaceae
518,Jungermannia gracillima Sm.,SPECIES,Jungermanniales,Marchantiophyta,Plantae,Jungermannia,Jungermanniopsida,Jungermanniaceae
519,Jungermannia hyalina Lyell,SPECIES,Jungermanniales,Marchantiophyta,Plantae,Jungermannia,Jungermanniopsida,Jungermanniaceae
527,Kurzia pauciflora (Dicks.) Grolle,SPECIES,Jungermanniales,Marchantiophyta,Plantae,Kurzia,Jungermanniopsida,Lepidoziaceae
528,Kurzia sylvatica (A.Evans) Grolle,SPECIES,Jungermanniales,Marchantiophyta,Plantae,Kurzia,Jungermanniopsida,Lepidoziaceae
531,Leiocolea badensis (Gottsche) Jörg.,SPECIES,Jungermanniales,Marchantiophyta,Plantae,Leiocolea,Jungermanniopsida,Jungermanniaceae
536,Lejeunea cavifolia (Ehrh.) Lindb.,SPECIES,Porellales,Marchantiophyta,Plantae,Lejeunea,Jungermanniopsida,Lejeuneaceae
539,Lepidozia reptans (L.) Dumort.,SPECIES,Jungermanniales,Marchantiophyta,Plantae,Lepidozia,Jungermanniopsida,Lepidoziaceae
541,"Leptobarbula berica W.P.Schimper, 1876",SPECIES,Pottiales,Bryophyta,Plantae,Leptobarbula,Bryopsida,Pottiaceae
543,"Leptobryum pyriforme Wilson, 1855",SPECIES,Bryales,Bryophyta,Plantae,Leptobryum,Bryopsida,Bryaceae
545,"Leptodictyum riparium Warnstorf, 1906",SPECIES,Hypnales,Bryophyta,Plantae,Leptodictyum,Bryopsida,Amblystegiaceae
547,"Leptodontium flexifolium Hampe, 1864",SPECIES,Pottiales,Bryophyta,Plantae,Leptodontium,Bryopsida,Pottiaceae
548,"Leptodontium gemmascens Braithwaite, 1887",SPECIES,Pottiales,Bryophyta,Plantae,Leptodontium,Bryopsida,Pottiaceae
550,"Leskea polycarpa Ehrhart ex Hedwig, 1801",SPECIES,Hypnales,Bryophyta,Plantae,Leskea,Bryopsida,Leskeaceae
552,"Leucobryum glaucum Ångström, 1845",SPECIES,Dicranales,Bryophyta,Plantae,Leucobryum,Bryopsida,Dicranaceae
555,"Leucodon sciuroides Schwaegrichen, 1816",SPECIES,Leucodontales,Bryophyta,Plantae,Leucodon,Bryopsida,Leucodontaceae
558,Lophocolea bidentata (L.) Dumort.,SPECIES,Jungermanniales,Marchantiophyta,Plantae,Lophocolea,Jungermanniopsida,Lophocoleaceae
559,Lophocolea heterophylla (Schrad.) Dumort.,SPECIES,Jungermanniales,Marchantiophyta,Plantae,Lophocolea,Jungermanniopsida,Lophocoleaceae
561,Lophocolea semiteres (Lehm.) Mitt.,SPECIES,Jungermanniales,Marchantiophyta,Plantae,Lophocolea,Jungermanniopsida,Lophocoleaceae
563,Lophozia bicrenata (Schmidel ex Hoffm.) Dumort.,SPECIES,Jungermanniales,Marchantiophyta,Plantae,Lophozia,Jungermanniopsida,Lophoziaceae
564,Lophozia capitata (Hook.) Macoun,SPECIES,Jungermanniales,Marchantiophyta,Plantae,Heterogemma,Jungermanniopsida,Lophoziaceae
565,Lophozia excisa (Dicks.) Dumort.,SPECIES,Jungermanniales,Marchantiophyta,Plantae,Lophoziopsis,Jungermanniopsida,Lophoziaceae
571,Lophozia perssonii H.Buch & S.W.Arnell,SPECIES,Jungermanniales,Marchantiophyta,Plantae,Lophozia,Jungermanniopsida,Lophoziaceae
573,Lophozia ventricosa (Dicks.) Dumort.,SPECIES,Jungermanniales,Marchantiophyta,Plantae,Lophozia,Jungermanniopsida,Lophoziaceae
576,Lunularia cruciata (L.) Dumort. ex Lindb.,SPECIES,Lunulariales,Marchantiophyta,Plantae,Lunularia,Marchantiopsida,Lunulariaceae
578,Marchantia polymorpha L.,SPECIES,Marchantiales,Marchantiophyta,Plantae,Marchantia,Marchantiopsida,Marchantiaceae
589,Metzgeria conjugata Lindb.,SPECIES,Metzgeriales,Marchantiophyta,Plantae,Metzgeria,Jungermanniopsida,Metzgeriaceae
591,Metzgeria furcata (L.) Dumort.,SPECIES,Metzgeriales,Marchantiophyta,Plantae,Metzgeria,Jungermanniopsida,Metzgeriaceae
592,Metzgeria temperata Kuwah.,SPECIES,Metzgeriales,Marchantiophyta,Plantae,Metzgeria,Jungermanniopsida,Metzgeriaceae
594,Microbryum curvicollum (Hedw.) R.H.Zander,SPECIES,Pottiales,Bryophyta,Plantae,Microbryum,Bryopsida,Pottiaceae
595,"Microbryum davallianum Zander, 1993",SPECIES,Pottiales,Bryophyta,Plantae,Microbryum,Bryopsida,Pottiaceae
596,"Microbryum floerkeanum W.P.Schimper, 1860",SPECIES,Pottiales,Bryophyta,Plantae,Microbryum,Bryopsida,Pottiaceae
600,Microlejeunea ulicina (Taylor) A.Evans,SPECIES,Porellales,Marchantiophyta,Plantae,Microlejeunea,Jungermanniopsida,Lejeuneaceae
602,"Micromitrium tenerum Crosby, 1968",SPECIES,Funariales,Bryophyta,Plantae,Micromitrium,Bryopsida,Ephemeraceae
606,"Mnium hornum Hedwig, 1801",SPECIES,Bryales,Bryophyta,Plantae,Mnium,Bryopsida,Mniaceae
607,"Mnium marginatum Palisot de Beauvois, 1805",SPECIES,Bryales,Bryophyta,Plantae,Mnium,Bryopsida,Mniaceae
608,"Mnium stellare Reichard ex Hedwig, 1801",SPECIES,Bryales,Bryophyta,Plantae,Mnium,Bryopsida,Mniaceae
612,Mylia anomala (Hook.) Gray,SPECIES,Jungermanniales,Marchantiophyta,Plantae,Mylia,Jungermanniopsida,Myliaceae
616,Nardia geoscyphus (De Not.) Lindb.,SPECIES,Jungermanniales,Marchantiophyta,Plantae,Nardia,Jungermanniopsida,Gymnomitriaceae
618,Nardia scalaris Gray,SPECIES,Jungermanniales,Marchantiophyta,Plantae,Nardia,Jungermanniopsida,Gymnomitriaceae
620,"Neckera complanata Hübener, 1833",SPECIES,Leucodontales,Bryophyta,Plantae,Neckera,Bryopsida,Neckeraceae
621,"Neckera crispa Hedwig, 1801",SPECIES,Leucodontales,Bryophyta,Plantae,Neckera,Bryopsida,Neckeraceae
622,"Neckera pumila Hedwig, 1801",SPECIES,Leucodontales,Bryophyta,Plantae,Neckera,Bryopsida,Neckeraceae
624,Nowellia curvifolia (Dicks.) Mitt.,SPECIES,Jungermanniales,Marchantiophyta,Plantae,Nowellia,Jungermanniopsida,Cephaloziaceae
628,Odontoschisma denudatum (Mart.) Dumort.,SPECIES,Jungermanniales,Marchantiophyta,Plantae,Odontoschisma,Jungermanniopsida,Cephaloziaceae
629,Odontoschisma sphagni (Dicks.) Dumort.,SPECIES,Jungermanniales,Marchantiophyta,Plantae,Odontoschisma,Jungermanniopsida,Cephaloziaceae
631,"Oligotrichum hercynicum Lamarck & A.P.de Candolle, 1805",SPECIES,Polytrichales,Bryophyta,Plantae,Oligotrichum,Bryopsida,Polytrichaceae
633,"Orthodontium lineare Schwaegrichen, 1827",SPECIES,Bryales,Bryophyta,Plantae,Orthodontium,Bryopsida,Bryaceae
638,"Orthotrichum affine Schrader ex Bridel, 1801",SPECIES,Orthotrichales,Bryophyta,Plantae,Orthotrichum,Bryopsida,Orthotrichaceae
639,"Orthotrichum anomalum Hedwig, 1801",SPECIES,Orthotrichales,Bryophyta,Plantae,Orthotrichum,Bryopsida,Orthotrichaceae
640,"Orthotrichum consimile Mitten, 1864",SPECIES,Orthotrichales,Bryophyta,Plantae,Orthotrichum,Bryopsida,Orthotrichaceae
641,"Orthotrichum cupulatum G.F.Hoffmann ex Bridel, 1801",SPECIES,Orthotrichales,Bryophyta,Plantae,Orthotrichum,Bryopsida,Orthotrichaceae
642,"Orthotrichum diaphanum Schrader ex Bridel, 1801",SPECIES,Orthotrichales,Bryophyta,Plantae,Orthotrichum,Bryopsida,Orthotrichaceae
643,"Orthotrichum ibericum F.Lara & Mazimpaka, 1993",SPECIES,Orthotrichales,Bryophyta,Plantae,Orthotrichum,Bryopsida,Orthotrichaceae
644,"Orthotrichum lyellii W.J.Hooker & Taylor, 1818",SPECIES,Orthotrichales,Bryophyta,Plantae,Orthotrichum,Bryopsida,Orthotrichaceae
645,"Orthotrichum obtusifolium Bridel, 1801",SPECIES,Orthotrichales,Bryophyta,Plantae,Orthotrichum,Bryopsida,Orthotrichaceae
646,"Orthotrichum pallens Bruch ex Bridel, 1827",SPECIES,Orthotrichales,Bryophyta,Plantae,Orthotrichum,Bryopsida,Orthotrichaceae
647,"Orthotrichum patens Bruch & Bridel, 1827",SPECIES,Orthotrichales,Bryophyta,Plantae,Orthotrichum,Bryopsida,Orthotrichaceae
648,"Orthotrichum pulchellum Brunton, 1807",SPECIES,Orthotrichales,Bryophyta,Plantae,Orthotrichum,Bryopsida,Orthotrichaceae
649,Orthotrichum pumilum Sw. ex Anon.,SPECIES,Orthotrichales,Bryophyta,Plantae,Orthotrichum,Bryopsida,Orthotrichaceae
651,"Orthotrichum rogeri Bridel, 1812",SPECIES,Orthotrichales,Bryophyta,Plantae,Orthotrichum,Bryopsida,Orthotrichaceae
652,"Orthotrichum rupestre Schleicher ex Schwaegrichen, 1816",SPECIES,Orthotrichales,Bryophyta,Plantae,Orthotrichum,Bryopsida,Orthotrichaceae
653,"Orthotrichum scanicum Grönvall, 1885",SPECIES,Orthotrichales,Bryophyta,Plantae,Orthotrichum,Bryopsida,Orthotrichaceae
654,Orthotrichum schimperi Hammar,SPECIES,Orthotrichales,Bryophyta,Plantae,Orthotrichum,Bryopsida,Orthotrichaceae
656,"Orthotrichum speciosum Nees, 1819",SPECIES,Orthotrichales,Bryophyta,Plantae,Orthotrichum,Bryopsida,Orthotrichaceae
657,"Orthotrichum sprucei Montagne, 1845",SPECIES,Orthotrichales,Bryophyta,Plantae,Orthotrichum,Bryopsida,Orthotrichaceae
658,"Orthotrichum stramineum Hornschuch, 1827",SPECIES,Orthotrichales,Bryophyta,Plantae,Orthotrichum,Bryopsida,Orthotrichaceae
659,"Orthotrichum striatum Hedwig, 1801",SPECIES,Orthotrichales,Bryophyta,Plantae,Orthotrichum,Bryopsida,Orthotrichaceae
660,"Orthotrichum tenellum Bruch ex Bridel, 1827",SPECIES,Orthotrichales,Bryophyta,Plantae,Orthotrichum,Bryopsida,Orthotrichaceae
662,Physcomitrium pyriforme (Hedw.) Bruch & Schimp.,SPECIES,Funariales,Bryophyta,Plantae,Physcomitrium,Bryopsida,Funariaceae
663,Physcomitrium sphaericum (C.F.Ludw. ex Schkuhr) Brid.,SPECIES,Funariales,Bryophyta,Plantae,Physcomitrium,Bryopsida,Funariaceae
667,Plagiochila asplenioides (L.) Dumort.,SPECIES,Jungermanniales,Marchantiophyta,Plantae,Plagiochila,Jungermanniopsida,Plagiochilaceae
669,Plagiochila porelloides (Torr. ex Nees) Lindenb.,SPECIES,Jungermanniales,Marchantiophyta,Plantae,Plagiochila,Jungermanniopsida,Plagiochilaceae
672,"Plagiomnium affine T.Koponen, 1968",SPECIES,Bryales,Bryophyta,Plantae,Plagiomnium,Bryopsida,Mniaceae
673,"Plagiomnium cuspidatum T.Koponen, 1968",SPECIES,Bryales,Bryophyta,Plantae,Plagiomnium,Bryopsida,Mniaceae
674,"Plagiomnium elatum T.Koponen, 1968",SPECIES,Bryales,Bryophyta,Plantae,Plagiomnium,Bryopsida,Mniaceae
675,"Plagiomnium ellipticum T.Koponen, 1971",SPECIES,Bryales,Bryophyta,Plantae,Plagiomnium,Bryopsida,Mniaceae
677,"Plagiomnium rostratum T.Koponen, 1968",SPECIES,Bryales,Bryophyta,Plantae,Plagiomnium,Bryopsida,Mniaceae
678,"Plagiomnium undulatum T.Koponen, 1968",SPECIES,Bryales,Bryophyta,Plantae,Plagiomnium,Bryopsida,Mniaceae
682,"Plagiothecium cavifolium Iwatsuki, 1970",SPECIES,Hypnales,Bryophyta,Plantae,Plagiothecium,Bryopsida,Plagiotheciaceae
683,"Plagiothecium curvifolium Schliephacke ex Limpricht, 1897",SPECIES,Hypnales,Bryophyta,Plantae,Plagiothecium,Bryopsida,Plagiotheciaceae
684,"Plagiothecium denticulatum W.P.Schimper, 1851",SPECIES,Hypnales,Bryophyta,Plantae,Plagiothecium,Bryopsida,Plagiotheciaceae
685,"Plagiothecium laetum W.P.Schimper, 1851",SPECIES,Hypnales,Bryophyta,Plantae,Plagiothecium,Bryopsida,Plagiotheciaceae
686,"Plagiothecium latebricola W.P.Schimper, 1851",SPECIES,Hypnales,Bryophyta,Plantae,Plagiothecium,Bryopsida,Plagiotheciaceae
687,"Plagiothecium nemorale Jaeger, 1878",SPECIES,Hypnales,Bryophyta,Plantae,Plagiothecium,Bryopsida,Plagiotheciaceae
688,Plagiothecium undulatum (Hedw.) Schimp.,SPECIES,Hypnales,Bryophyta,Plantae,Plagiothecium,Bryopsida,Plagiotheciaceae
692,"Platygyrium repens W.P.Schimper, 1851",SPECIES,Hypnales,Bryophyta,Plantae,Platygyrium,Bryopsida,Hypnaceae
694,"Platyhypnidium riparioides Dixon, 1934",SPECIES,Hypnales,Bryophyta,Plantae,Platyhypnidium,Bryopsida,Brachytheciaceae
696,"Pleuridium acuminatum Lindberg, 1863",SPECIES,Dicranales,Bryophyta,Plantae,Pleuridium,Bryopsida,Ditrichaceae
698,"Pleuridium subulatum Rabenhorst, 1848",SPECIES,Dicranales,Bryophyta,Plantae,Pleuridium,Bryopsida,Ditrichaceae
700,"Pleurochaete squarrosa Lindberg, 1864",SPECIES,Pottiales,Bryophyta,Plantae,Pleurochaete,Bryopsida,Pottiaceae
702,"Pleurozium schreberi Mitten, 1869",SPECIES,Hypnales,Bryophyta,Plantae,Pleurozium,Bryopsida,Hylocomiaceae
704,"Pogonatum aloides Palisot de Beauvois, 1805",SPECIES,Polytrichales,Bryophyta,Plantae,Pogonatum,Bryopsida,Polytrichaceae
705,"Pogonatum nanum Palisot de Beauvois, 1805",SPECIES,Polytrichales,Bryophyta,Plantae,Pogonatum,Bryopsida,Polytrichaceae
706,"Pogonatum urnigerum Palisot de Beauvois, 1805",SPECIES,Polytrichales,Bryophyta,Plantae,Pogonatum,Bryopsida,Polytrichaceae
709,"Pohlia annotina Lindberg, 1879",SPECIES,Bryales,Bryophyta,Plantae,Pohlia,Bryopsida,Bryaceae
710,"Pohlia bulbifera Warnstorf, 1904",SPECIES,Bryales,Bryophyta,Plantae,Pohlia,Bryopsida,Bryaceae
711,"Pohlia camptotrachela Brotherus, 1903",SPECIES,Bryales,Bryophyta,Plantae,Pohlia,Bryopsida,Bryaceae
715,"Pohlia flexuosa W.J.Hooker, 1836",SPECIES,Bryales,Bryophyta,Plantae,Pohlia,Bryopsida,Bryaceae
716,"Pohlia lescuriana Ochi, 1968",SPECIES,Bryales,Bryophyta,Plantae,Pohlia,Bryopsida,Bryaceae
717,"Pohlia lutescens H.Lindberg, 1899",SPECIES,Bryales,Bryophyta,Plantae,Pohlia,Bryopsida,Bryaceae
718,"Pohlia melanodon A.J.Shaw, 1981",SPECIES,Bryales,Bryophyta,Plantae,Pohlia,Bryopsida,Bryaceae
719,"Pohlia nutans Lindberg, 1879",SPECIES,Bryales,Bryophyta,Plantae,Pohlia,Bryopsida,Bryaceae
720,"Pohlia wahlenbergii Andrews, 1935",SPECIES,Bryales,Bryophyta,Plantae,Pohlia,Bryopsida,Bryaceae
721,"Polytrichastrum alpinum G.L.Smith, 1971",SPECIES,Polytrichales,Bryophyta,Plantae,Polytrichastrum,Bryopsida,Polytrichaceae
723,"Polytrichum commune Hedwig, 1801",SPECIES,Polytrichales,Bryophyta,Plantae,Polytrichum,Bryopsida,Polytrichaceae
725,"Polytrichum juniperinum Hedwig, 1801",SPECIES,Polytrichales,Bryophyta,Plantae,Polytrichum,Bryopsida,Polytrichaceae
727,"Polytrichum piliferum Hedwig, 1801",SPECIES,Polytrichales,Bryophyta,Plantae,Polytrichum,Bryopsida,Polytrichaceae
728,"Polytrichum strictum Menzies ex Bridel, 1801",SPECIES,Polytrichales,Bryophyta,Plantae,Polytrichum,Bryopsida,Polytrichaceae
734,Porella platyphylla (L.) Pfeiff.,SPECIES,Porellales,Marchantiophyta,Plantae,Porella,Jungermanniopsida,Porellaceae
736,Preissia quadrata (Scop.) Nees,SPECIES,Marchantiales,Marchantiophyta,Plantae,Marchantia,Marchantiopsida,Marchantiaceae
738,Pseudephemerum nitidum (Hedw.) Loeske,SPECIES,Dicranales,Bryophyta,Plantae,Pseudephemerum,Bryopsida,Dicranaceae
740,"Pseudobryum cinclidioides T.Koponen, 1968",SPECIES,Bryales,Bryophyta,Plantae,Pseudobryum,Bryopsida,Mniaceae
742,"Pseudocalliergon lycopodioides Hedenäs, 1990",SPECIES,Hypnales,Bryophyta,Plantae,Pseudocalliergon,Bryopsida,Amblystegiaceae
744,"Pseudocrossidium hornschuchianum Zander, 1979",SPECIES,Pottiales,Bryophyta,Plantae,Pseudocrossidium,Bryopsida,Pottiaceae
745,"Pseudocrossidium revolutum Zander, 1979",SPECIES,Pottiales,Bryophyta,Plantae,Pseudocrossidium,Bryopsida,Pottiaceae
