phylum,taxon_id_parent,n_hok_1980_1999,n_hok_2000_2019,n_hok_tot_1980_1999,n_hok_tot_2000_2019,ell_l,ell_n,ell_f,ell_r,ell_t,substrate,wei
Bryophyta,353,185,175,227,227,6,2,5,3,3,decorticated wood,0.14285714285714285
Bryophyta,353,185,175,227,227,6,2,5,3,3,gravel or sand,0.14285714285714285
Bryophyta,353,185,175,227,227,6,2,5,3,3,peat,0.14285714285714285
Bryophyta,353,185,175,227,227,6,2,5,3,3,"rock, hard",0.14285714285714285
Bryophyta,353,185,175,227,227,6,2,5,3,3,mineral soil,0.14285714285714285
Bryophyta,353,185,175,227,227,6,2,5,3,3,soil on rock,0.14285714285714285
Bryophyta,354,4,3,227,227,6,2,5,2,3,mineral soil,1
Bryophyta,355,75,113,227,227,4,3,4,3,3,decorticated wood,0.5
Bryophyta,355,75,113,227,227,4,3,4,3,3,epiphytic on living wood,0.5
Bryophyta,358,1,1,227,227,8,2,3,8,6,gravel or sand,0.3333333333333333
Bryophyta,358,1,1,227,227,8,2,3,8,6,mineral soil,0.3333333333333333
Bryophyta,358,1,1,227,227,8,2,3,8,6,soil on rock,0.3333333333333333
Bryophyta,360,43,52,227,227,7,3,4,7,6,gravel or sand,0.3333333333333333
Bryophyta,360,43,52,227,227,7,3,4,7,6,mineral soil,0.3333333333333333
Bryophyta,360,43,52,227,227,7,3,4,7,6,soil on rock,0.3333333333333333
Bryophyta,362,27,68,227,227,4,4,4,8,6,"rock, soft",0.3333333333333333
Bryophyta,362,27,68,227,227,4,4,4,8,6,artificial stone,0.3333333333333333
Bryophyta,362,27,68,227,227,4,4,4,8,6,soil on rock,0.3333333333333333
Bryophyta,364,55,87,227,227,5,4,4,8,3,"rock, hard",0.5
Bryophyta,364,55,87,227,227,5,4,4,8,3,artificial stone,0.5
Bryophyta,365,8,28,227,227,4,5,6,7,6,"rock, hard",0.5
Bryophyta,365,8,28,227,227,4,5,6,7,6,artificial stone,0.5
Bryophyta,367,49,32,227,227,5,4,8,8,5,gravel or sand,0.2
Bryophyta,367,49,32,227,227,5,4,8,8,5,"rock, soft",0.2
Bryophyta,367,49,32,227,227,5,4,8,8,5,artificial stone,0.2
Bryophyta,367,49,32,227,227,5,4,8,8,5,mineral soil,0.2
Bryophyta,367,49,32,227,227,5,4,8,8,5,soil on rock,0.2
Bryophyta,368,34,59,227,227,6,4,3,8,7,gravel or sand,0.16666666666666666
Bryophyta,368,34,59,227,227,6,4,3,8,7,"rock, hard",0.16666666666666666
Bryophyta,368,34,59,227,227,6,4,3,8,7,"rock, soft",0.16666666666666666
Bryophyta,368,34,59,227,227,6,4,3,8,7,artificial stone,0.16666666666666666
Bryophyta,368,34,59,227,227,6,4,3,8,7,mineral soil,0.16666666666666666
Bryophyta,368,34,59,227,227,6,4,3,8,7,soil on rock,0.16666666666666666
Bryophyta,381,4,2,227,227,7,2,3,7,6,gravel or sand,0.3333333333333333
Bryophyta,381,4,2,227,227,7,2,3,7,6,mineral soil,0.3333333333333333
Bryophyta,381,4,2,227,227,7,2,3,7,6,soil on rock,0.3333333333333333
Bryophyta,383,17,4,227,227,5,2,6,3,3,gravel or sand,0.3333333333333333
Bryophyta,383,17,4,227,227,5,2,6,3,3,mineral soil,0.3333333333333333
Bryophyta,383,17,4,227,227,5,2,6,3,3,soil on rock,0.3333333333333333
Bryophyta,384,5,4,227,227,6,2,6,3,2,mineral soil,1
Bryophyta,386,9,7,227,227,7,3,5,4,4,mineral soil,1
Bryophyta,390,56,88,227,227,7,6,10,7,4,gravel or sand,0.3333333333333333
Bryophyta,390,56,88,227,227,7,6,10,7,4,mineral soil,0.3333333333333333
Bryophyta,391,10,12,227,227,9,3,8,7,3,gravel or sand,0.5
Bryophyta,391,10,12,227,227,9,3,8,7,3,mineral soil,0.5
Bryophyta,395,26,21,227,227,6,2,4,8,5,gravel or sand,0.16666666666666666
Bryophyta,395,26,21,227,227,6,2,4,8,5,"rock, hard",0.16666666666666666
Bryophyta,395,26,21,227,227,6,2,4,8,5,"rock, soft",0.16666666666666666
Bryophyta,395,26,21,227,227,6,2,4,8,5,artificial stone,0.16666666666666666
Bryophyta,395,26,21,227,227,6,2,4,8,5,mineral soil,0.16666666666666666
Bryophyta,395,26,21,227,227,6,2,4,8,5,soil on rock,0.16666666666666666
Bryophyta,396,4,2,227,227,7,3,4,8,5,"rock, hard",0.2
Bryophyta,396,4,2,227,227,7,3,4,8,5,"rock, soft",0.2
Bryophyta,396,4,2,227,227,7,3,4,8,5,artificial stone,0.2
Bryophyta,396,4,2,227,227,7,3,4,8,5,mineral soil,0.2
Bryophyta,396,4,2,227,227,7,3,4,8,5,soil on rock,0.2
Bryophyta,398,1,2,227,227,8,2,4,8,4,gravel or sand,0.3333333333333333
Bryophyta,398,1,2,227,227,8,2,4,8,4,mineral soil,0.3333333333333333
Bryophyta,398,1,2,227,227,8,2,4,8,4,soil on rock,0.3333333333333333
Bryophyta,400,3,1,227,227,8,4,6,5,6,mineral soil,1
Bryophyta,401,2,1,227,227,7,3,7,5,4,gravel or sand,0.3333333333333333
Bryophyta,401,2,1,227,227,7,3,7,5,4,mineral soil,0.3333333333333333
Bryophyta,401,2,1,227,227,7,3,7,5,4,soil on rock,0.3333333333333333
Bryophyta,405,16,10,227,227,7,5,8,5,5,mineral soil,1
Bryophyta,409,7,3,227,227,2,3,7,9,7,"rock, hard",0.3333333333333333
Bryophyta,409,7,3,227,227,2,3,7,9,7,"rock, soft",0.3333333333333333
Bryophyta,409,7,3,227,227,2,3,7,9,7,artificial stone,0.3333333333333333
Bryophyta,421,85,178,227,227,4,5,6,6,6,"rock, hard",0.25
Bryophyta,421,85,178,227,227,4,5,6,6,6,"rock, soft",0.25
Bryophyta,421,85,178,227,227,4,5,6,6,6,mineral soil,0.25
Bryophyta,421,85,178,227,227,4,5,6,6,6,soil on rock,0.25
Bryophyta,423,22,18,227,227,7,2,7,6,3,gravel or sand,0.16666666666666666
Bryophyta,423,22,18,227,227,7,2,7,6,3,peat,0.16666666666666666
Bryophyta,423,22,18,227,227,7,2,7,6,3,"rock, hard",0.16666666666666666
Bryophyta,423,22,18,227,227,7,2,7,6,3,"rock, soft",0.16666666666666666
Bryophyta,423,22,18,227,227,7,2,7,6,3,artificial stone,0.16666666666666666
Bryophyta,423,22,18,227,227,7,2,7,6,3,mineral soil,0.16666666666666666
Bryophyta,425,106,124,227,227,4,5,5,5,7,mineral soil,0.5
Bryophyta,425,106,124,227,227,4,5,5,5,7,soil on rock,0.5
Bryophyta,427,6,9,227,227,5,7,9,7,6,"rock, hard",0.5
Bryophyta,427,6,9,227,227,5,7,9,7,6,artificial stone,0.5
Bryophyta,429,22,17,227,227,7,2,4,7,4,gravel or sand,0.16666666666666666
Bryophyta,429,22,17,227,227,7,2,4,7,4,"rock, hard",0.16666666666666666
Bryophyta,429,22,17,227,227,7,2,4,7,4,"rock, soft",0.16666666666666666
Bryophyta,429,22,17,227,227,7,2,4,7,4,artificial stone,0.16666666666666666
Bryophyta,429,22,17,227,227,7,2,4,7,4,mineral soil,0.16666666666666666
Bryophyta,429,22,17,227,227,7,2,4,7,4,soil on rock,0.16666666666666666
Bryophyta,430,9,12,227,227,4,5,5,5,5,mineral soil,1
Bryophyta,431,14,16,227,227,1,4,5,7,4,"rock, hard",0.3333333333333333
Bryophyta,431,14,16,227,227,1,4,5,7,4,"rock, soft",0.3333333333333333
Bryophyta,431,14,16,227,227,1,4,5,7,4,artificial stone,0.3333333333333333
Bryophyta,435,1,0,227,227,7,2,7,5,2,"rock, hard",0.5
Bryophyta,435,1,0,227,227,7,2,7,5,2,mineral soil,0.5
Bryophyta,439,99,102,227,227,4,5,5,7,4,"rock, hard",0.5
Bryophyta,439,99,102,227,227,4,5,5,7,4,mineral soil,0.5
Bryophyta,440,40,40,227,227,3,6,5,7,5,mineral soil,0.5
Bryophyta,440,40,40,227,227,3,6,5,7,5,soil on rock,0.5
Bryophyta,442,10,10,227,227,6,5,12,6,5,"rock, hard",0.5
Bryophyta,442,10,10,227,227,6,5,12,6,5,artificial stone,0.5
Bryophyta,454,172,186,227,227,7,7,5,6,6,gravel or sand,0.25
Bryophyta,454,172,186,227,227,7,7,5,6,6,artificial stone,0.25
Bryophyta,454,172,186,227,227,7,7,5,6,6,mineral soil,0.25
Bryophyta,454,172,186,227,227,7,7,5,6,6,soil on rock,0.25
Bryophyta,470,1,7,227,227,9,1,1,9,7,"rock, hard",0.5
Bryophyta,470,1,7,227,227,9,1,1,9,7,artificial stone,0.5
Bryophyta,472,201,207,227,227,8,4,1,8,5,"rock, hard",0.5
Bryophyta,472,201,207,227,227,8,4,1,8,5,artificial stone,0.5
Bryophyta,480,17,18,227,227,8,2,3,8,4,gravel or sand,0.3333333333333333
Bryophyta,480,17,18,227,227,8,2,3,8,4,mineral soil,0.3333333333333333
Bryophyta,480,17,18,227,227,8,2,3,8,4,soil on rock,0.3333333333333333
Bryophyta,481,121,146,227,227,7,4,3,7,3,epiphytic on living wood,0.25
Bryophyta,481,121,146,227,227,7,4,3,7,3,"rock, hard",0.25
